file_path,label
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0003.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0006.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0001.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0002.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0005.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0013.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0010.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0026.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0036.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0020.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0011.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0014.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0007.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0012.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0016.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0004.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0019.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0035.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0024.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0021.tiff,Basophil
